model,cond,pair,layer,n,metric,value
en-ar-fair,fair,en-ar,9,1000,mexa_mutual,0.9062000000000001
en-ar-fair,fair,en-ar,9,1000,top1_a2b,0.95
en-ar-fair,fair,en-ar,9,1000,top1_b2a,0.9532
en-ar-fair,fair,en-ar,9,2009,hungarian,0.9940268790443006
en-ar-fair,fair,en-ar,9,2009,mexa_mutual,0.8969636635141862
en-ar-fair,fair,en-ar,9,2009,top1_a2b,0.9422598307615729
en-ar-fair,fair,en-ar,9,2009,top1_b2a,0.9502239920358387
en-ar-fair,fair,en-ar,10,1000,hungarian,0.998
en-ar-fair,fair,en-ar,10,1000,mexa_mutual,0.933
en-ar-fair,fair,en-ar,10,1000,top1_a2b,0.9693999999999999
en-ar-fair,fair,en-ar,10,1000,top1_b2a,0.9621999999999999
en-ar-fair,fair,en-ar,10,2009,hungarian,0.9970134395221503
en-ar-fair,fair,en-ar,10,2009,mexa_mutual,0.9228471876555501
en-ar-fair,fair,en-ar,10,2009,top1_a2b,0.9616724738675958
en-ar-fair,fair,en-ar,10,2009,top1_b2a,0.9581881533101045
en-ar-fair,fair,en-ar,11,1000,hungarian,1.0
en-ar-fair,fair,en-ar,11,1000,mexa_mutual,0.9561999999999999
en-ar-fair,fair,en-ar,11,1000,top1_a2b,0.9788
en-ar-fair,fair,en-ar,11,1000,top1_b2a,0.9768000000000001
en-ar-fair,fair,en-ar,11,2009,hungarian,1.0
en-ar-fair,fair,en-ar,11,2009,mexa_mutual,0.9507217521154804
en-ar-fair,fair,en-ar,11,2009,top1_a2b,0.9746142359382778
en-ar-fair,fair,en-ar,11,2009,top1_b2a,0.9751119960179193
en-ar-fair,fair,en-ar,12,1000,hungarian,1.0
en-ar-fair,fair,en-ar,12,1000,mexa_mutual,0.9522
en-ar-fair,fair,en-ar,12,1000,top1_a2b,0.9810000000000001
en-ar-fair,fair,en-ar,12,1000,top1_b2a,0.9708
en-ar-fair,fair,en-ar,12,2009,hungarian,1.0
en-ar-fair,fair,en-ar,12,2009,mexa_mutual,0.9412643106022897
en-ar-fair,fair,en-ar,12,2009,top1_a2b,0.975609756097561
en-ar-fair,fair,en-ar,12,2009,top1_b2a,0.9646590343454455
en-ar-fair,fair,en-ar,13,1000,hungarian,1.0
en-ar-fair,fair,en-ar,13,1000,mexa_mutual,0.953
en-ar-fair,fair,en-ar,13,1000,top1_a2b,0.9826
en-ar-fair,fair,en-ar,13,1000,top1_b2a,0.9693999999999999
en-ar-fair,fair,en-ar,13,2009,hungarian,1.0
en-ar-fair,fair,en-ar,13,2009,mexa_mutual,0.9402687904430065
en-ar-fair,fair,en-ar,13,2009,top1_a2b,0.9776007964161274
en-ar-fair,fair,en-ar,13,2009,top1_b2a,0.9606769537083126
en-ar-fair,fair,en-ar,14,1000,hungarian,1.0
en-ar-fair,fair,en-ar,14,1000,mexa_mutual,0.9280000000000002
en-ar-fair,fair,en-ar,14,1000,top1_a2b,0.9747999999999999
en-ar-fair,fair,en-ar,14,1000,top1_b2a,0.9496
en-ar-fair,fair,en-ar,14,2009,hungarian,1.0
en-ar-fair,fair,en-ar,14,2009,mexa_mutual,0.90741662518666
en-ar-fair,fair,en-ar,14,2009,top1_a2b,0.9636635141861623
en-ar-fair,fair,en-ar,14,2009,top1_b2a,0.9372822299651568
en-ar-fair,fair,en-ar,15,1000,hungarian,1.0
en-ar-fair,fair,en-ar,15,1000,mexa_mutual,0.7494
en-ar-fair,fair,en-ar,15,1000,top1_a2b,0.924
en-ar-fair,fair,en-ar,15,1000,top1_b2a,0.7962
en-ar-fair,fair,en-ar,15,2009,hungarian,1.0
en-ar-fair,fair,en-ar,15,2009,mexa_mutual,0.6908909905425585
en-ar-fair,fair,en-ar,15,2009,top1_a2b,0.8914883026381284
en-ar-fair,fair,en-ar,15,2009,top1_b2a,0.7511199601791936
en-ar-fair,fair,en-ar,16,1000,hungarian,0.9987999999999999
en-ar-fair,fair,en-ar,16,1000,mexa_mutual,0.20460000000000003
en-ar-fair,fair,en-ar,16,1000,top1_a2b,0.4184
en-ar-fair,fair,en-ar,16,1000,top1_b2a,0.31639999999999996
en-ar-fair,fair,en-ar,16,2009,hungarian,0.9980089596814335
en-ar-fair,fair,en-ar,16,2009,mexa_mutual,0.1448481831757093
en-ar-fair,fair,en-ar,16,2009,top1_a2b,0.29915380786460927
en-ar-fair,fair,en-ar,16,2009,top1_b2a,0.2498755599800896
en-ar-starved,starved,en-ar,0,1000,hungarian,0.0636
en-ar-starved,starved,en-ar,0,1000,mexa_mutual,0.0312
en-ar-starved,starved,en-ar,0,1000,top1_a2b,0.05500000000000001
en-ar-starved,starved,en-ar,0,1000,top1_b2a,0.0522
en-ar-starved,starved,en-ar,0,2009,hungarian,0.049776007964161276
en-ar-starved,starved,en-ar,0,2009,mexa_mutual,0.024390243902439025
en-ar-starved,starved,en-ar,0,2009,top1_a2b,0.039820806371329016
en-ar-starved,starved,en-ar,0,2009,top1_b2a,0.03882528621204579
en-ar-starved,starved,en-ar,1,1000,hungarian,0.359
en-ar-starved,starved,en-ar,1,1000,mexa_mutual,0.047599999999999996
en-ar-starved,starved,en-ar,1,1000,top1_a2b,0.1526
en-ar-starved,starved,en-ar,1,1000,top1_b2a,0.061399999999999996
en-ar-starved,starved,en-ar,1,2009,hungarian,0.30662020905923343
en-ar-starved,starved,en-ar,1,2009,mexa_mutual,0.039323046291687404
en-ar-starved,starved,en-ar,1,2009,top1_a2b,0.13091090094574415
en-ar-starved,starved,en-ar,1,2009,top1_b2a,0.0507715281234445
en-ar-starved,starved,en-ar,2,1000,hungarian,0.5835999999999999
en-ar-starved,starved,en-ar,2,1000,mexa_mutual,0.026000000000000002
en-ar-starved,starved,en-ar,2,1000,top1_a2b,0.195
en-ar-starved,starved,en-ar,2,1000,top1_b2a,0.040999999999999995
en-ar-starved,starved,en-ar,2,2009,hungarian,0.5331010452961672
en-ar-starved,starved,en-ar,2,2009,mexa_mutual,0.015928322548531607
en-ar-starved,starved,en-ar,2,2009,top1_a2b,0.1677451468392235
en-ar-starved,starved,en-ar,2,2009,top1_b2a,0.024390243902439025
en-ar-starved,starved,en-ar,3,1000,hungarian,0.5748
en-ar-starved,starved,en-ar,3,1000,mexa_mutual,0.0172
en-ar-starved,starved,en-ar,3,1000,top1_a2b,0.184
en-ar-starved,starved,en-ar,3,1000,top1_b2a,0.034
en-ar-starved,starved,en-ar,3,2009,hungarian,0.5236436037829766
en-ar-starved,starved,en-ar,3,2009,mexa_mutual,0.012444001991040319
en-ar-starved,starved,en-ar,3,2009,top1_a2b,0.15181682429069188
en-ar-starved,starved,en-ar,3,2009,top1_b2a,0.0233947237431558
en-ar-starved,starved,en-ar,4,1000,hungarian,0.5584
en-ar-starved,starved,en-ar,4,1000,mexa_mutual,0.0184
en-ar-starved,starved,en-ar,4,1000,top1_a2b,0.21000000000000002
en-ar-starved,starved,en-ar,4,1000,top1_b2a,0.033
en-ar-starved,starved,en-ar,4,2009,hungarian,0.5047287207565954
en-ar-starved,starved,en-ar,4,2009,mexa_mutual,0.013439522150323544
en-ar-starved,starved,en-ar,4,2009,top1_a2b,0.18018914883026382
en-ar-starved,starved,en-ar,4,2009,top1_b2a,0.02538576406172225
en-ar-starved,starved,en-ar,5,1000,hungarian,0.5784
en-ar-starved,starved,en-ar,5,1000,mexa_mutual,0.0206
en-ar-starved,starved,en-ar,5,1000,top1_a2b,0.22159999999999996
en-ar-starved,starved,en-ar,5,1000,top1_b2a,0.0372
en-ar-starved,starved,en-ar,5,2009,hungarian,0.514186162269786
en-ar-starved,starved,en-ar,5,2009,mexa_mutual,0.014932802389248382
en-ar-starved,starved,en-ar,5,2009,top1_a2b,0.1831757093081135
en-ar-starved,starved,en-ar,5,2009,top1_b2a,0.026381284221005476
en-ar-starved,starved,en-ar,6,1000,hungarian,0.6602
en-ar-starved,starved,en-ar,6,1000,mexa_mutual,0.0274
en-ar-starved,starved,en-ar,6,1000,top1_a2b,0.2386
en-ar-starved,starved,en-ar,6,1000,top1_b2a,0.0444
en-ar-starved,starved,en-ar,6,2009,hungarian,0.5973120955699353
en-ar-starved,starved,en-ar,6,2009,mexa_mutual,0.01841712294673967
en-ar-starved,starved,en-ar,6,2009,top1_a2b,0.19711299153807865
en-ar-starved,starved,en-ar,6,2009,top1_b2a,0.030363364858138377
en-ar-starved,starved,en-ar,7,1000,hungarian,0.844
en-ar-starved,starved,en-ar,7,1000,mexa_mutual,0.05500000000000001
en-ar-starved,starved,en-ar,7,1000,top1_a2b,0.327
en-ar-starved,starved,en-ar,7,1000,top1_b2a,0.077
en-ar-starved,starved,en-ar,7,2009,hungarian,0.8023892483822798
en-ar-starved,starved,en-ar,7,2009,mexa_mutual,0.039323046291687404
en-ar-starved,starved,en-ar,7,2009,top1_a2b,0.2772523643603783
en-ar-starved,starved,en-ar,7,2009,top1_b2a,0.0587356893977103
en-ar-starved,starved,en-ar,8,1000,hungarian,0.8119999999999999
en-ar-starved,starved,en-ar,8,1000,mexa_mutual,0.1486
en-ar-starved,starved,en-ar,8,1000,top1_a2b,0.2088
en-ar-starved,starved,en-ar,8,1000,top1_b2a,0.3198
en-ar-starved,starved,en-ar,8,2009,hungarian,0.7779990044798407
en-ar-starved,starved,en-ar,8,2009,mexa_mutual,0.1254355400696864
en-ar-starved,starved,en-ar,8,2009,top1_a2b,0.1791936286709806
en-ar-starved,starved,en-ar,8,2009,top1_b2a,0.282727725236436
en-ar-starved,starved,en-ar,9,1000,hungarian,0.9719999999999999
en-ar-starved,starved,en-ar,9,1000,mexa_mutual,0.4408
en-ar-starved,starved,en-ar,9,1000,top1_a2b,0.4782
en-ar-starved,starved,en-ar,9,1000,top1_b2a,0.7742
en-ar-starved,starved,en-ar,9,2009,hungarian,0.9581881533101045
en-ar-starved,starved,en-ar,9,2009,mexa_mutual,0.406172224987556
en-ar-starved,starved,en-ar,9,2009,top1_a2b,0.44649079143852666
en-ar-starved,starved,en-ar,9,2009,top1_b2a,0.7426580388252862
en-ar-starved,starved,en-ar,10,1000,hungarian,0.9975999999999999
en-ar-starved,starved,en-ar,10,1000,mexa_mutual,0.7438
en-ar-starved,starved,en-ar,10,1000,top1_a2b,0.7538
en-ar-starved,starved,en-ar,10,1000,top1_b2a,0.9666
en-ar-starved,starved,en-ar,10,2009,hungarian,0.9965156794425087
en-ar-starved,starved,en-ar,10,2009,mexa_mutual,0.7207565953210553
en-ar-starved,starved,en-ar,10,2009,top1_a2b,0.7322050771528124
en-ar-starved,starved,en-ar,10,2009,top1_b2a,0.9542060726729716
en-ar-starved,starved,en-ar,11,1000,hungarian,1.0
en-ar-starved,starved,en-ar,11,1000,mexa_mutual,0.8960000000000001
en-ar-starved,starved,en-ar,11,1000,top1_a2b,0.8987999999999999
en-ar-starved,starved,en-ar,11,1000,top1_b2a,0.9924
en-ar-starved,starved,en-ar,11,2009,hungarian,1.0
en-ar-starved,starved,en-ar,11,2009,mexa_mutual,0.8775510204081632
en-ar-starved,starved,en-ar,11,2009,top1_a2b,0.8815331010452961
en-ar-starved,starved,en-ar,11,2009,top1_b2a,0.9900447984071677
en-ar-starved,starved,en-ar,12,1000,hungarian,1.0
en-ar-starved,starved,en-ar,12,1000,mexa_mutual,0.9491999999999999
en-ar-starved,starved,en-ar,12,1000,top1_a2b,0.9523999999999999
en-ar-starved,starved,en-ar,12,1000,top1_b2a,0.9932000000000001
en-ar-starved,starved,en-ar,12,2009,hungarian,1.0
en-ar-starved,starved,en-ar,12,2009,mexa_mutual,0.9362867098058736
en-ar-starved,starved,en-ar,12,2009,top1_a2b,0.9417620706819313
en-ar-starved,starved,en-ar,12,2009,top1_b2a,0.9895470383275261
en-ar-starved,starved,en-ar,13,1000,hungarian,1.0
en-ar-starved,starved,en-ar,13,1000,mexa_mutual,0.9704
en-ar-starved,starved,en-ar,13,1000,top1_a2b,0.9746
en-ar-starved,starved,en-ar,13,1000,top1_b2a,0.9942
en-ar-starved,starved,en-ar,13,2009,hungarian,1.0
en-ar-starved,starved,en-ar,13,2009,mexa_mutual,0.9571926331508213
en-ar-starved,starved,en-ar,13,2009,top1_a2b,0.9646590343454455
en-ar-starved,starved,en-ar,13,2009,top1_b2a,0.9900447984071677
en-ar-starved,starved,en-ar,14,1000,hungarian,1.0
en-ar-starved,starved,en-ar,14,1000,mexa_mutual,0.9732
en-ar-starved,starved,en-ar,14,1000,top1_a2b,0.9822
en-ar-starved,starved,en-ar,14,1000,top1_b2a,0.9884000000000001
en-ar-starved,starved,en-ar,14,2009,hungarian,1.0
en-ar-starved,starved,en-ar,14,2009,mexa_mutual,0.9616724738675958
en-ar-starved,starved,en-ar,14,2009,top1_a2b,0.9746142359382778
en-ar-starved,starved,en-ar,14,2009,top1_b2a,0.9835739173718268
en-ar-starved,starved,en-ar,15,1000,hungarian,1.0
en-ar-starved,starved,en-ar,15,1000,mexa_mutual,0.7476
en-ar-starved,starved,en-ar,15,1000,top1_a2b,0.8795999999999999
en-ar-starved,starved,en-ar,15,1000,top1_b2a,0.8315999999999999
en-ar-starved,starved,en-ar,15,2009,hungarian,1.0
en-ar-starved,starved,en-ar,15,2009,mexa_mutual,0.6888999502239921
en-ar-starved,starved,en-ar,15,2009,top1_a2b,0.8481831757093081
en-ar-starved,starved,en-ar,15,2009,top1_b2a,0.7839721254355401
en-ar-starved,starved,en-ar,16,1000,hungarian,1.0
en-ar-starved,starved,en-ar,16,1000,mexa_mutual,0.0678
en-ar-starved,starved,en-ar,16,1000,top1_a2b,0.35819999999999996
en-ar-starved,starved,en-ar,16,1000,top1_b2a,0.09140000000000001
en-ar-starved,starved,en-ar,16,2009,hungarian,1.0
en-ar-starved,starved,en-ar,16,2009,mexa_mutual,0.04828272772523644
en-ar-starved,starved,en-ar,16,2009,top1_a2b,0.282727725236436
en-ar-starved,starved,en-ar,16,2009,top1_b2a,0.06570433051269288
en-de-fair,fair,en-de,0,1000,hungarian,0.756
en-de-fair,fair,en-de,0,1000,mexa_mutual,0.5416000000000001
en-de-fair,fair,en-de,0,1000,top1_a2b,0.6424000000000001
en-de-fair,fair,en-de,0,1000,top1_b2a,0.62
en-de-fair,fair,en-de,0,2009,hungarian,0.7282229965156795
en-de-fair,fair,en-de,0,2009,mexa_mutual,0.49776007964161273
en-de-fair,fair,en-de,0,2009,top1_a2b,0.593827775012444
en-de-fair,fair,en-de,0,2009,top1_b2a,0.5793927327028372
en-de-fair,fair,en-de,1,1000,hungarian,0.9965999999999999
en-de-fair,fair,en-de,1,1000,mexa_mutual,0.5364000000000001
en-de-fair,fair,en-de,1,1000,top1_a2b,0.7392
en-de-fair,fair,en-de,1,1000,top1_b2a,0.6784000000000001
en-de-fair,fair,en-de,1,2009,hungarian,0.9920358387257342
en-de-fair,fair,en-de,1,2009,mexa_mutual,0.5042309606769537
en-de-fair,fair,en-de,1,2009,top1_a2b,0.7187655550024888
en-de-fair,fair,en-de,1,2009,top1_b2a,0.6441015430562469
en-de-fair,fair,en-de,2,1000,hungarian,0.792
en-de-fair,fair,en-de,2,1000,mexa_mutual,0.6228
en-de-fair,fair,en-de,2,1000,top1_a2b,0.6784000000000001
en-de-fair,fair,en-de,2,1000,top1_b2a,0.683
en-de-fair,fair,en-de,2,2009,hungarian,0.7889497262319562
en-de-fair,fair,en-de,2,2009,mexa_mutual,0.6017919362867098
en-de-fair,fair,en-de,2,2009,top1_a2b,0.662020905923345
en-de-fair,fair,en-de,2,2009,top1_b2a,0.6669985067197611
en-de-fair,fair,en-de,3,1000,hungarian,0.8455999999999999
en-de-fair,fair,en-de,3,1000,mexa_mutual,0.7123999999999999
en-de-fair,fair,en-de,3,1000,top1_a2b,0.7652
en-de-fair,fair,en-de,3,1000,top1_b2a,0.7576
en-de-fair,fair,en-de,3,2009,hungarian,0.8461921353907417
en-de-fair,fair,en-de,3,2009,mexa_mutual,0.6968641114982579
en-de-fair,fair,en-de,3,2009,top1_a2b,0.7560975609756098
en-de-fair,fair,en-de,3,2009,top1_b2a,0.7446490791438527
en-de-fair,fair,en-de,4,1000,hungarian,0.8347999999999999
en-de-fair,fair,en-de,4,1000,mexa_mutual,0.6594
en-de-fair,fair,en-de,4,1000,top1_a2b,0.6906
en-de-fair,fair,en-de,4,1000,top1_b2a,0.7535999999999999
en-de-fair,fair,en-de,4,2009,hungarian,0.8322548531607765
en-de-fair,fair,en-de,4,2009,mexa_mutual,0.6436037829766053
en-de-fair,fair,en-de,4,2009,top1_a2b,0.6744649079143853
en-de-fair,fair,en-de,4,2009,top1_b2a,0.7386759581881533
en-de-fair,fair,en-de,5,1000,hungarian,0.8710000000000001
en-de-fair,fair,en-de,5,1000,mexa_mutual,0.678
en-de-fair,fair,en-de,5,1000,top1_a2b,0.7036
en-de-fair,fair,en-de,5,1000,top1_b2a,0.8097999999999999
en-de-fair,fair,en-de,5,2009,hungarian,0.8715778994524639
en-de-fair,fair,en-de,5,2009,mexa_mutual,0.6625186660029866
en-de-fair,fair,en-de,5,2009,top1_a2b,0.6884021901443504
en-de-fair,fair,en-de,5,2009,top1_b2a,0.8013937282229965
en-de-fair,fair,en-de,6,1000,hungarian,0.9074
en-de-fair,fair,en-de,6,1000,mexa_mutual,0.759
en-de-fair,fair,en-de,6,1000,top1_a2b,0.7858
en-de-fair,fair,en-de,6,1000,top1_b2a,0.8821999999999999
en-de-fair,fair,en-de,6,2009,hungarian,0.9069188651070185
en-de-fair,fair,en-de,6,2009,mexa_mutual,0.7466401194624191
en-de-fair,fair,en-de,6,2009,top1_a2b,0.7700348432055749
en-de-fair,fair,en-de,6,2009,top1_b2a,0.8810353409656545
en-de-fair,fair,en-de,7,1000,hungarian,0.9501999999999999
en-de-fair,fair,en-de,7,1000,mexa_mutual,0.868
en-de-fair,fair,en-de,7,1000,top1_a2b,0.8855999999999999
en-de-fair,fair,en-de,7,1000,top1_b2a,0.9381999999999999
en-de-fair,fair,en-de,7,2009,hungarian,0.9457441513190642
en-de-fair,fair,en-de,7,2009,mexa_mutual,0.86112493777999
en-de-fair,fair,en-de,7,2009,top1_a2b,0.8765555002488801
en-de-fair,fair,en-de,7,2009,top1_b2a,0.9352911896465903
en-de-fair,fair,en-de,8,1000,hungarian,0.974
en-de-fair,fair,en-de,8,1000,mexa_mutual,0.9232000000000001
en-de-fair,fair,en-de,8,1000,top1_a2b,0.946
en-de-fair,fair,en-de,8,1000,top1_b2a,0.9570000000000001
en-de-fair,fair,en-de,8,2009,hungarian,0.9696366351418616
en-de-fair,fair,en-de,8,2009,mexa_mutual,0.9208561473369836
en-de-fair,fair,en-de,8,2009,top1_a2b,0.9407665505226481
en-de-fair,fair,en-de,8,2009,top1_b2a,0.9547038327526133
en-de-fair,fair,en-de,9,1000,hungarian,0.9833999999999999
en-de-fair,fair,en-de,9,1000,mexa_mutual,0.942
en-de-fair,fair,en-de,9,1000,top1_a2b,0.9648
en-de-fair,fair,en-de,9,1000,top1_b2a,0.9654
en-de-fair,fair,en-de,9,2009,hungarian,0.9810851169736187
en-de-fair,fair,en-de,9,2009,mexa_mutual,0.9377799900447984
en-de-fair,fair,en-de,9,2009,top1_a2b,0.9611747137879542
en-de-fair,fair,en-de,9,2009,top1_b2a,0.9626679940268791
en-de-fair,fair,en-de,10,1000,hungarian,0.993
en-de-fair,fair,en-de,10,1000,mexa_mutual,0.9516
en-de-fair,fair,en-de,10,1000,top1_a2b,0.9747999999999999
en-de-fair,fair,en-de,10,1000,top1_b2a,0.9730000000000001
en-de-fair,fair,en-de,10,2009,hungarian,0.9905425584868094
en-de-fair,fair,en-de,10,2009,mexa_mutual,0.9462419113987058
en-de-fair,fair,en-de,10,2009,top1_a2b,0.9706321553011449
en-de-fair,fair,en-de,10,2009,top1_b2a,0.96913887506222
en-de-fair,fair,en-de,11,1000,hungarian,1.0
en-de-fair,fair,en-de,11,1000,mexa_mutual,0.9724
en-de-fair,fair,en-de,11,1000,top1_a2b,0.9874
en-de-fair,fair,en-de,11,1000,top1_b2a,0.9846
en-de-fair,fair,en-de,11,2009,hungarian,1.0
en-de-fair,fair,en-de,11,2009,mexa_mutual,0.9681433549029368
en-de-fair,fair,en-de,11,2009,top1_a2b,0.98456943753111
en-de-fair,fair,en-de,11,2009,top1_b2a,0.9825783972125436
en-de-fair,fair,en-de,12,1000,hungarian,1.0
en-de-fair,fair,en-de,12,1000,mexa_mutual,0.9783999999999999
en-de-fair,fair,en-de,12,1000,top1_a2b,0.99
en-de-fair,fair,en-de,12,1000,top1_b2a,0.9878
en-de-fair,fair,en-de,12,2009,hungarian,1.0
en-de-fair,fair,en-de,12,2009,mexa_mutual,0.9731209556993529
en-de-fair,fair,en-de,12,2009,top1_a2b,0.987058237929318
en-de-fair,fair,en-de,12,2009,top1_b2a,0.9850671976107516
en-de-fair,fair,en-de,13,1000,hungarian,1.0
en-de-fair,fair,en-de,13,1000,mexa_mutual,0.9934
en-de-fair,fair,en-de,13,1000,top1_a2b,0.9978
en-de-fair,fair,en-de,13,1000,top1_b2a,0.9949999999999999
en-de-fair,fair,en-de,13,2009,hungarian,1.0
en-de-fair,fair,en-de,13,2009,mexa_mutual,0.9900447984071677
en-de-fair,fair,en-de,13,2009,top1_a2b,0.9950223992035838
en-de-fair,fair,en-de,13,2009,top1_b2a,0.9945246391239423
en-de-fair,fair,en-de,14,1000,hungarian,1.0
en-de-fair,fair,en-de,14,1000,mexa_mutual,0.9952
en-de-fair,fair,en-de,14,1000,top1_a2b,0.9974000000000001
en-de-fair,fair,en-de,14,1000,top1_b2a,0.9964000000000001
en-de-fair,fair,en-de,14,2009,hungarian,1.0
en-de-fair,fair,en-de,14,2009,mexa_mutual,0.9930313588850174
en-de-fair,fair,en-de,14,2009,top1_a2b,0.9950223992035838
en-de-fair,fair,en-de,14,2009,top1_b2a,0.9965156794425087
en-de-fair,fair,en-de,15,1000,hungarian,1.0
en-de-fair,fair,en-de,15,1000,mexa_mutual,0.9077999999999999
en-de-fair,fair,en-de,15,1000,top1_a2b,0.9676
en-de-fair,fair,en-de,15,1000,top1_b2a,0.93
en-de-fair,fair,en-de,15,2009,hungarian,1.0
en-de-fair,fair,en-de,15,2009,mexa_mutual,0.8437033349925336
en-de-fair,fair,en-de,15,2009,top1_a2b,0.9113987058237929
en-de-fair,fair,en-de,15,2009,top1_b2a,0.9054255848680935
en-de-fair,fair,en-de,16,1000,hungarian,1.0
en-de-fair,fair,en-de,16,1000,mexa_mutual,0.37320000000000003
en-de-fair,fair,en-de,16,1000,top1_a2b,0.7882
en-de-fair,fair,en-de,16,1000,top1_b2a,0.40120000000000006
en-de-fair,fair,en-de,16,2009,hungarian,1.0
