model,tok,train_langs,pair,a,b,same_script,trained_pair,n_trained_in_pair,variant,which_layer,layer,top1_a2b,top1_b2a,mutual_nn,cosine_matched,cosine_nonmatched,cosine_margin,dprime,cka
ar-fair-12b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,best,13,0.772026,0.739671,0.656546,0.37069,-9.98396e-05,0.370789,4.29597,0.602346
ar-fair-12b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,ref,12,0.0109507,0.0184171,0.0049776,0.872192,0.855224,0.0169682,0.847145,0.534348
ar-fair-12b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,best,0,0.0358387,0.0293678,0.0164261,0.211176,0.163855,0.047321,0.830893,0.116949
ar-fair-12b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,ref,12,0.085117,0.0408163,0.022897,0.225908,0.000428618,0.225479,1.4929,0.503211
ar-fair-12b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,best,0,0.0716775,0.0632155,0.0452962,0.088839,0.000228204,0.0886108,1.04735,0.112157
ar-fair-12b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,raw,ref,12,0.0099552,0.0164261,0.00398208,0.783499,0.766937,0.016562,0.424948,0.533193
ar-fair-12b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,raw,best,0,0.0283723,0.00945744,0.00696864,0.0550406,0.0280314,0.0270091,0.695747,0.112356
ar-fair-12b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,centered,ref,12,0.0771528,0.0328522,0.0189149,0.159169,-1.97121e-05,0.159189,1.54601,0.514547
ar-fair-12b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,centered,best,7,0.074664,0.0527626,0.026879,0.123865,0.000278043,0.123587,1.51933,0.452145
ar-fair-15b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,ref,12,0.0557491,0.0438029,0.0233947,0.794223,0.757777,0.0364467,0.897051,0.665068
ar-fair-15b,unigram_destarved,ar,en-de,en,de,1,0,0,raw,best,1,0.2001,0.143355,0.12892,0.45145,0.363751,0.087699,2.01252,0.277826
ar-fair-15b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,ref,12,0.419612,0.294674,0.244898,0.323224,-9.09842e-05,0.323315,2.62264,0.640949
ar-fair-15b,unigram_destarved,ar,en-de,en,de,1,0,0,centered,best,7,0.462419,0.4445,0.380786,0.305728,0.000375949,0.305352,3.14673,0.574507
ar-fair-15b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,ref,12,0.305625,0.399204,0.222499,0.852035,0.789109,0.0629267,2.3339,0.738482
ar-fair-15b,unigram_destarved,ar,en-fr,en,fr,1,0,0,raw,best,11,0.449477,0.540567,0.366351,0.885125,0.821867,0.0632578,2.33226,0.759649
ar-fair-15b,unigram_destarved,ar,en-fr,en,fr,1,0,0,centered,ref,12,0.883026,0.853161,0.792434,0.498575,-0.000150546,0.498726,4.27062,0.721057
ar-fair-15b,unigram_destarved,ar,en-fr,en,fr,1,0,0,centered,best,13,0.872573,0.870085,0.811847,0.490236,-3.31279e-05,0.49027,4.57287,0.674055
ar-fair-15b,unigram_destarved,ar,en-ar,en,ar,0,0,1,raw,ref,12,0.951717,0.929816,0.894973,0.873792,0.772624,0.101169,3.72609,0.766477
ar-fair-15b,unigram_destarved,ar,en-ar,en,ar,0,0,1,raw,best,13,0.958188,0.928323,0.898955,0.857612,0.736476,0.121136,3.93865,0.753364
ar-fair-15b,unigram_destarved,ar,en-ar,en,ar,0,0,1,centered,ref,12,0.975112,0.976108,0.956197,0.596715,-0.00023316,0.596948,5.89158,0.764919
ar-fair-15b,unigram_destarved,ar,en-ar,en,ar,0,0,1,centered,best,13,0.983574,0.977601,0.967148,0.61179,-0.000178018,0.611968,6.35136,0.755993
ar-fair-15b,unigram_destarved,ar,en-zh,en,zh,0,0,0,raw,ref,12,0.014435,0.012444,0.00647088,0.78866,0.763005,0.0256554,0.742809,0.593315
ar-fair-15b,unigram_destarved,ar,en-zh,en,zh,0,0,0,raw,best,0,0.0592334,0.037332,0.0253858,0.139313,0.0745378,0.0647755,1.21167,0.143042
ar-fair-15b,unigram_destarved,ar,en-zh,en,zh,0,0,0,centered,ref,12,0.110503,0.051767,0.0338477,0.223947,4.80502e-06,0.223942,1.58467,0.56482
ar-fair-15b,unigram_destarved,ar,en-zh,en,zh,0,0,0,centered,best,0,0.102539,0.0861125,0.0617222,0.103994,8.83459e-05,0.103906,1.2681,0.140732
ar-fair-15b,unigram_destarved,ar,de-fr,de,fr,1,0,0,raw,ref,12,0.0423096,0.0721752,0.0233947,0.850331,0.818779,0.0315522,1.27009,0.681721
ar-fair-15b,unigram_destarved,ar,de-fr,de,fr,1,0,0,raw,best,10,0.120458,0.21105,0.0935789,0.908062,0.87231,0.0357525,1.34606,0.730842
ar-fair-15b,unigram_destarved,ar,de-fr,de,fr,1,0,0,centered,ref,12,0.231956,0.301145,0.179691,0.341992,0.000734122,0.341257,2.14396,0.640455
ar-fair-15b,unigram_destarved,ar,de-fr,de,fr,1,0,0,centered,best,7,0.278746,0.300149,0.227476,0.267607,0.000765696,0.266841,2.43706,0.487906
ar-fair-15b,unigram_destarved,ar,de-ar,de,ar,0,0,1,raw,ref,12,0.0343454,0.0219014,0.012444,0.746548,0.718003,0.0285455,1.02921,0.586358
ar-fair-15b,unigram_destarved,ar,de-ar,de,ar,0,0,1,raw,best,0,0.0368342,0.0457939,0.0243902,0.0579791,0.0146442,0.0433349,0.999922,0.119503
ar-fair-15b,unigram_destarved,ar,de-ar,de,ar,0,0,1,centered,ref,12,0.160279,0.256346,0.111,0.231841,-0.000150173,0.231991,2.04291,0.570596
ar-fair-15b,unigram_destarved,ar,de-ar,de,ar,0,0,1,centered,best,14,0.202091,0.239423,0.144848,0.204321,3.47643e-05,0.204286,2.43986,0.416662
ar-fair-15b,unigram_destarved,ar,de-zh,de,zh,0,0,0,raw,ref,12,0.012444,0.0169238,0.00796416,0.871433,0.849515,0.0219178,0.792405,0.545025
ar-fair-15b,unigram_destarved,ar,de-zh,de,zh,0,0,0,raw,best,0,0.0492782,0.035341,0.0199104,0.238111,0.180744,0.0573669,0.908618,0.130216
ar-fair-15b,unigram_destarved,ar,de-zh,de,zh,0,0,0,centered,ref,12,0.0607267,0.0413141,0.0214037,0.269505,0.00129776,0.268207,1.23176,0.528718
ar-fair-15b,unigram_destarved,ar,de-zh,de,zh,0,0,0,centered,best,0,0.0826282,0.0681931,0.0462917,0.101317,0.000613988,0.100703,1.08608,0.121227
ar-fair-15b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,raw,ref,12,0.250871,0.0881035,0.0527626,0.784413,0.731885,0.0525279,1.9507,0.67181
ar-fair-15b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,raw,best,11,0.343952,0.104032,0.0676954,0.808143,0.755667,0.0524759,2.04399,0.690304
ar-fair-15b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,ref,12,0.725734,0.74664,0.595321,0.384868,-0.000181237,0.385049,3.76666,0.664084
ar-fair-15b,unigram_destarved,ar,fr-ar,fr,ar,0,0,1,centered,best,13,0.758089,0.754604,0.647586,0.38593,-5.79717e-05,0.385988,4.1226,0.618415
ar-fair-15b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,ref,12,0.0159283,0.0129418,0.00447984,0.843938,0.821324,0.0226144,0.854888,0.557156
ar-fair-15b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,raw,best,0,0.0333499,0.026879,0.0159283,0.198599,0.149976,0.0486238,0.85495,0.118388
ar-fair-15b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,ref,12,0.0836237,0.0413141,0.0238925,0.242278,0.000612196,0.241666,1.40339,0.523861
ar-fair-15b,unigram_destarved,ar,fr-zh,fr,zh,0,0,0,centered,best,0,0.0731707,0.0632155,0.0457939,0.0901076,0.000181929,0.0899256,1.03989,0.113418
ar-fair-15b,unigram_destarved,ar,ar-zh,ar,zh,0,0,1,raw,ref,12,0.00945744,0.0174216,0.00348432,0.754179,0.73153,0.022649,0.520713,0.569218
