run,name,wandb_id,leg,step,tokens,metric,value
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,25095,23779126147.588783,eval/flores_ar_bpb,0.8351453033032529
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,25095,23779126147.588783,eval/flores_en_bpb,1.1374125633745351
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,25095,23779126147.588783,eval/holdout_ar_bpb,0.7012443208764348
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,25095,23779126147.588783,eval/holdout_en_bpb,0.9353574824735688
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,25604,24261436377.08162,eval/flores_ar_bpb,0.8263933458598209
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,25604,24261436377.08162,eval/flores_en_bpb,1.1600075110942991
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,25604,24261436377.08162,eval/holdout_ar_bpb,0.6989979326881899
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,25604,24261436377.08162,eval/holdout_en_bpb,0.9350022463052745
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,26113,24743746606.574455,eval/flores_ar_bpb,0.8261871667169981
en-ar__unigram_destarved__100b-v11-noramp15e4,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v11-noramp15e4,,26113,24743746606.574455,eval/flores_en_bpb,1.1299197981976126
